SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	January 30, 2023	January 27, 2023	January 26, 2023	January 25, 2023	January 24, 2023
Chinese yuan					
Euro		0.8041440000	0.8055110000	0.8059560000	0.8047270000
Japanese yen		0.0056932500	0.0057228900	0.0056839700	0.0056853100
U.K. pound		0.9154210000	0.9161160000	0.9120540000	0.9127100000
U.S. dollar		0.7401230000	0.7393400000	0.7409050000	0.7411370000
Algerian dinar		0.0054570400	0.0054586300	0.0054625800	0.0054657100
Australian dollar		0.5260050000		0.5261910000	0.5212420000
Botswana pula		0.0578776000	0.0580382000	0.0580870000	0.0580310000
Brazilian real		0.1458050000	0.1451250000	0.1451730000	0.1433810000
Brunei dollar		0.5633880000	0.5635210000	0.5621860000	
Canadian dollar			0.5538540000	0.5532030000	0.5543280000
Chilean peso		0.0009221800	0.0009199430	0.0009198650	0.0009103650
Czech koruna		0.0337509000	0.0338123000	0.0338498000	0.0337080000
Danish krone		0.1081150000	0.1082920000	0.1083560000	0.1081640000
Indian rupee		0.0090763100		0.0090767900	0.0090823400
Israeli New Shekel		0.2152770000	0.2175170000	0.2198530000	0.2197260000
Korean won		0.0006010420	0.0005994320	0.0006002150	
Kuwaiti dinar			2.4240700000	2.4272100000	2.4279700000
Malaysian ringgit		0.1749910000	0.1739420000	0.1733920000	
Mauritian rupee			0.0165764000	0.0166363000	0.0166427000
Mexican peso		0.0393951000	0.0392525000	0.0393680000	0.0393556000
New Zealand dollar		0.4814870000	0.4790920000	0.4799210000	0.4809980000
Norwegian krone		0.0747342000	0.0748479000	0.0746978000	0.0750724000
Omani rial			1.9228600000	1.9269300000	1.9275300000
Peruvian sol			0.1914890000	0.1903660000	0.1910150000
Philippine peso		0.0135847000	0.0135348000	0.0135894000	0.0136268000
Polish zloty		0.1711190000	0.1705360000	0.1712480000	0.1710010000
Qatari riyal			0.2031150000	0.2035450000	0.2036090000
Russian ruble		0.0106743000	0.0106955000	0.0107444000	0.0107797000
Saudi Arabian riyal			0.1971570000	0.1975750000	0.1976370000
Singapore dollar		0.5633880000	0.5635210000	0.5621860000	
South African rand		0.0428865000	0.0433079000	0.0429779000	0.0429510000
Swedish krona		0.0718650000	0.0724843000	0.0725339000	0.0726299000
Swiss franc		0.8023450000	0.8058640000	0.8034540000	0.8033130000
Thai baht		0.0225119000	0.0226195000	0.0225831000	0.0226177000
Trinidadian dollar		0.1094860000	0.1093680000	0.1093440000	0.1093830000
U.A.E. dirham			0.2013180000	0.2017440000	0.2018070000
Uruguayan peso		0.0191618000	0.0189779000	0.0189562000	0.0189365000

Currency units per SDR(3)

Currency	January 30, 2023	January 27, 2023	January 26, 2023	January 25, 2023	January 24, 2023
Chinese yuan					
Euro		1.243560	1.241450	1.240760	1.242660
Japanese yen		175.647000	174.737000	175.933000	175.892000
U.K. pound		1.092390	1.091560	1.096430	1.095640
U.S. dollar		1.351130	1.352560	1.349700	1.349280
Algerian dinar		183.250000	183.196000	183.064000	182.959000
Australian dollar		1.901120		1.900450	1.918490
Botswana pula		17.277800	17.230000	17.215600	17.232200
Brazilian real		6.858480	6.890610	6.888330	6.974420
Brunei dollar		1.774980	1.774560	1.778770	
Canadian dollar			1.805530	1.807650	1.803990
Chilean peso		1,084.390000	1,087.020000	1,087.120000	1,098.460000
Czech koruna		29.628800	29.575000	29.542300	29.666500
Danish krone		9.249410	9.234290	9.228840	9.245220
Indian rupee		110.177000		110.171000	110.104000
Israeli New Shekel		4.645180	4.597340	4.548490	4.551120
Korean won		1,663.780000	1,668.250000	1,666.070000	
Kuwaiti dinar			0.412529	0.411996	0.411867
Malaysian ringgit		5.714580	5.749040	5.767280	
Mauritian rupee			60.326700	60.109500	60.086400
Mexican peso		25.383900	25.476100	25.401300	25.409300
New Zealand dollar		2.076900	2.087280	2.083680	2.079010
Norwegian krone		13.380800	13.360400	13.387300	13.320500
Omani rial			0.520059	0.518960	0.518799
Peruvian sol			5.222230	5.253040	5.235190
Philippine peso		73.612200	73.883600	73.586800	73.384800
Polish zloty		5.843890	5.863860	5.839480	5.847920
Qatari riyal			4.923320	4.912920	4.911370
Russian ruble		93.683000	93.497300	93.071700	92.767000
Saudi Arabian riyal			5.072100	5.061370	5.059780
Singapore dollar		1.774980	1.774560	1.778770	
South African rand		23.317400	23.090500	23.267800	23.282300
Swedish krona		13.915000	13.796100	13.786700	13.768400
Swiss franc		1.246350	1.240900	1.244630	1.244840
Thai baht		44.421000	44.209600	44.280900	44.213200
Trinidadian dollar		9.133590	9.143440	9.145450	9.142190
U.A.E. dirham			4.967270	4.956780	4.955230
Uruguayan peso		52.187200	52.692900	52.753200	52.808100


(1) Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

(3) The value in terms of each national currency of the SDR is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.
