SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	July 15, 2015	July 14, 2015	July 13, 2015	July 10, 2015	July 09, 2015
Euro	0.7876970000	0.7895440000	0.7898290000	0.7962750000	0.7910090000
Japanese Yen	0.0057958900	0.0057866400	0.0058354400	0.0058531000	0.0059247100
U.K. Pound Sterling	1.1186200000	1.1145700000	1.1122200000	1.1051000000	1.1007900000
U.S. Dollar	0.7155030000	0.7157500000	0.7148420000	0.7119130000	0.7155860000
Algerian Dinar	0.0071698100	0.0072031500	0.0071866800	0.0071984100	0.0071935300
Australian Dollar	0.5339080000	0.5315160000	0.5324860000	0.5329380000	0.5351870000
Bahrain Dinar	1.9029300000	1.9035900000	1.9011800000	1.8933900000	1.9031500000
Botswana Pula	0.0715503000	0.0717897000	0.0711983000	0.0713337000	0.0713439000
Brazilian Real	0.2291080000	0.2265460000	0.2241090000	0.2213450000	0.2216670000
Brunei Dollar	0.5257190000	0.5259390000	0.5288080000	0.5278510000	0.5298280000
Canadian Dollar	0.5530670000	0.5614610000	0.5601330000	0.5599000000	0.5621700000
Chilean Peso	0.0011117200	0.0011051000	0.0011063100	0.0011004300	0.0010968500
Chinese Yuan	0.1170040000	0.1170200000	0.1169320000	0.1164150000	0.1170200000
Colombian Peso	0.0002661640	0.0002657280	0.0002679950	0.0002665550	0.0002659390
Czech Koruna	0.0290973000	0.0291548000	0.0291510000	0.0293718000	0.0291742000
Danish Krone	0.1055490000	0.1058020000	0.1058410000	0.1067000000	0.1060020000
Hungarian Forint	0.0025383200	0.0025339900	0.0025490900	0.0025328700	0.0024948100
Icelandic Krona	0.0053415700	0.0053434100	0.0053626600	0.0053822700	0.0053469800
Indian Rupee	0.0112883000	0.0112720000	0.0112635000	0.0112326000	0.0112679000
Indonesian Rupiah	0.0000536802	0.0000537350	0.0000537112	0.0000535112	0.0000536140
Iranian Rial	0.0000242552	0.0000242627	0.0000242566		0.0000243082
Israeli New Sheqel	0.1900410000	0.1896030000	0.1893120000	0.1884860000	0.1890080000
Kazakhstani Tenge	0.0038252000	0.0038316400	0.0038267800	0.0038162000	0.0038400100
Korean Won	0.0006279650	0.0006325670	0.0006326040	0.0006265740	0.0006300840
Kuwaiti Dinar	2.3641300000	2.3637700000	2.3654600000		2.3671400000
Libyan Dinar	0.5174910000	0.5174910000	0.5174910000	0.5174910000	0.5174910000
Malaysian Ringgit	0.1880530000	0.1880340000	0.1880920000	0.1879140000	0.1880890000
Mauritian Rupee	0.0202374000	0.0202242000	0.0201690000	0.0200383000	0.0201544000
Mexican Peso	0.0454374000	0.0456683000	0.0454145000	0.0452500000	0.0453316000
Nepalese Rupee	0.0070437400	0.0070489500	0.0070476400	0.0070084000	0.0070404000
New Zealand Dollar	0.4806750000	0.4781930000	0.4803740000	0.4808970000	0.4816610000
Norwegian Krone	0.0881042000	0.0878005000	0.0887099000	0.0894644000	0.0877094000
Rial Omani	1.8608700000	1.8615100000	1.8591500000	1.8515300000	1.8610800000
Pakistani Rupee	0.0070322400	0.0070337300	0.0070255200	0.0069982400	0.0070316900
Nuevo Sol		0.2254330000	0.2250760000	0.2241540000	0.2250980000
Philippine Peso	0.0158280000	0.0158524000	0.0158312000	0.0157607000	0.0158203000
Polish Zloty	0.1909540000	0.1901310000	0.1904060000	0.1887910000	0.1868860000
Qatar Riyal	0.1965670000	0.1966350000	0.1963850000	0.1955800000	0.1965900000
Russian Ruble	0.0126271000	0.0125620000	0.0126280000	0.0125628000	0.0125585000
